CATALOG_NAME,SCHEMA_NAME
PRD_CMW_A1923,PCMWPRSTV_PSB
PRD_CMW_A1923,PCMWPRSTV_SDK
PRD_CMW_A1923,PCMWPRSTV_SDM
PRD_CMW_A1923,PCMWPUNIB_CMW
PRD_CMW_A1923,PCMWPUNIU_ALIM
PRD_CMW_A1923,PCMWPUNIU_SAV
PRD_CMW_A1923,PCMWPUNIU_SEL
PRD_CMW_A1923,PCMWPUNIV
PRD_CMW_A1923,PCMWPUNIV_BRB
PRD_CMW_A1923,PCMWPUNIV_CMW
PRD_CMW_A1923,PRD_SRV_CMW_A1923_ACCESSION
PRD_CMW_A1923,PRD_SRV_CMW_A1923_CMW
PRD_CNF_A5701,APP
PRD_CNF_A5701,PRD_SUV_CNF_A5701_EQUIPMENT
PRD_CNF_A5701,PRD_SUV_CNF_A5701_EQUIPMENT_STAGING
PRD_COF_A5199,PRD_UV_COF_A5199_COF
PRD_COT_A1370,PRD_SRV_COT_A1370_COT
PRD_CPB_A5470,APP
PRD_CPB_A5470,PRD_APP_CPB_A5470_CPB
PRD_CPB_A5470,PRD_UV_CPB_A5470_CPB
PRD_CPB_A5470,PRD_UV_CPB_A5470_PDI_C3P
PRD_CPB_A5470,PRD_UV_CPB_A5470_PDI_C3P_V2
PRD_CPM_A5114,PRD_SRV_CPM_A5114_CPM
PRD_CPR_A5469,PRD_UV_CPR_A5469_CPR
PRD_CSM_A5047,PRD_SRV_CSM_A5047_CSM
PRD_CTI_A1377,PRD_SRV_CTI_A1377_CASP
PRD_CTI_A1377,PRD_SRV_CTI_A1377_CASPJ
PRD_CVL_A5154,PRD_SRV_CVL_A5154_CVL
PRD_CVP_A5822,PCVPPCVPV_APP
PRD_CVP_A5822,PRD_SRV_CVP_A5822_CTRL_PRIMES
PRD_CVP_A5822,PRD_UV_CVP_A5822_CTRL_PRIMES
PRD_DAB_AR017,PRD_UV_DAB_AR017_BDDF_DAC6
PRD_DAB_AR017,PRD_UV_DAB_AR017_STAGING_BDDF
PRD_DAR_A1571,PDARPDARB_DAR
PRD_DAR_A1571,PDARPDARB_DLI
PRD_DAR_A1571,PDARPDARB_TMP
PRD_DAR_A1571,PDARPDARK_DAR_OUTILS
PRD_DAR_A1571,PDARPDARK_DAR_SUIVI
PRD_DAR_A1571,PDARPDARK_DLI
PRD_DAR_A1571,PDARPDARU_DAR_ALIM
PRD_DAR_A1571,PDARPDARU_DAR_DCMA
PRD_DAR_A1571,PDARPDARU_DAR_SAS
PRD_DAR_A1571,PDARPDARU_DAR_SEL
PRD_DAR_A1571,PDARPDARU_DLI_ALIM
PRD_DAR_A1571,PDARPDARU_DLI_DCMA
PRD_DAR_A1571,PDARPDARU_DLI_SAS
PRD_DAR_A1571,PDARPDARU_DLI_SEL
PRD_DAR_A1571,PDARPDARU_SAV
PRD_DAR_A1571,PDARPDARV_DAR
PRD_DAR_A1571,PDARPDARV_DLI
PRD_DAR_A1571,PDARPDARV_TMP
PRD_DAR_A1571,PRD_SRV_DAR_A1571_DAR
PRD_DAT_A1955,PRD_SRV_DAT_A1955_DAT
PRD_DFC_A8361,PRD_LAB_DFC_A8361_CAD
PRD_DFC_A8361,PRD_SRV_DFC_A8361_CARMA
PRD_DFC_A8361,PRD_SRV_DFC_A8361_CARMA_PPRD
PRD_DFC_A8361,PRD_SRV_DFC_A8361_FORCES
PRD_DFC_A8361,PRD_SRV_DFC_A8361_FORCES_PPRD
PRD_DFC_A8361,PRD_SRV_DFC_A8361_NFDQC_CONTROLS_RESULTS
PRD_DFC_A8361,PRD_SRV_DFC_A8361_NFDQC_CONTROLS_RESULTS_PPRD
PRD_DFC_A8361,PRD_UV_DFC_A8361_CARMA
PRD_DFC_A8361,PRD_UV_DFC_A8361_CARMA_PPRD
PRD_DFC_A8361,PRD_UV_DFC_A8361_TALKS_EMB
PRD_DHR_A2879,PRD_APP_DHR_A2879_PROJECT_DHR_TECH
PRD_DHR_A2879,PRD_BOV_DHR_A2879_PERFORMANCE
PRD_DHR_A2879,PRD_BOV_DHR_A2879_PROF_EVOLUTION
PRD_DHR_A2879,PRD_BOV_DHR_A2879_RECRUITMENT
PRD_DHR_A2879,PRD_BOV_DHR_A2879_SKILL
PRD_DHR_A2879,PRD_BOV_DHR_A2879_TECHNICAL_BV
PRD_DHR_A2879,PRD_BOV_DHR_A2879_TRAINING
PRD_DHR_A2879,PRD_BOV_DHR_A2879_WA
PRD_DHR_A2879,PRD_SRV_DHR_A2879_ACTF_166715
PRD_DHR_A2879,PRD_SRV_DHR_A2879_COMP_ACE
PRD_DHR_A2879,PRD_SRV_DHR_A2879_EPRO_HRL
PRD_DHR_A2879,PRD_SRV_DHR_A2879_FDR_2106
PRD_DHR_A2879,PRD_SRV_DHR_A2879_HR_DATASCIENCE
PRD_DHR_A2879,PRD_SRV_DHR_A2879_PERF_PDP
PRD_DHR_A2879,PRD_SRV_DHR_A2879_RECR_JOBSG
PRD_DHR_A2879,PRD_SRV_DHR_A2879_REF_DHR
PRD_DHR_A2879,PRD_SRV_DHR_A2879_TRA_MOOC
PRD_DHR_A2879,PRD_SRV_DHR_A2879_TRA_MYL
PRD_DHR_A2879,PRD_SRV_DHR_A2879_WA_ARIS
PRD_DHR_A2879,PRD_SRV_DHR_A2879_WA_COREHR
PRD_DHR_A2879,PRD_SRV_DHR_A2879_WA_EBS
PRD_DHR_A2879,PRD_SRV_DHR_A2879_WA_GWN
PRD_DHR_A2879,PRD_SRV_DHR_A2879_WA_HCMS
PRD_DHR_A2879,PRD_SRV_DHR_A2879_WA_HCOM
PRD_DHR_A2879,PRD_SRV_DHR_A2879_WA_PSEUR
PRD_DHR_A2879,PRD_SRV_DHR_A2879_WA_SIRHJ
PRD_DHR_A2879,PRD_SRV_DHR_A2879_WA_SIRHJ2
PRD_DHR_A2879,PRD_SRV_DHR_A2879_WA_WAV0
PRD_DHR_A2879,PRD_SUV_DHR_A2879_A5401_PAF
PRD_DHR_A2879,PRD_SUV_DHR_A2879_A8497_SDH
PRD_DHR_A2879,PRD_SUV_DHR_A2879_DTM_PERFORMANCE
PRD_DHR_A2879,PRD_SUV_DHR_A2879_DTM_PROF_EVOLUTION
PRD_DHR_A2879,PRD_SUV_DHR_A2879_DTM_RECRUITMENT
PRD_DHR_A2879,PRD_SUV_DHR_A2879_DTM_SKILL
PRD_DHR_A2879,PRD_SUV_DHR_A2879_DTM_TRAINING
PRD_DHR_A2879,PRD_SUV_DHR_A2879_DTM_WA
PRD_DHR_A2879,PRD_SUV_DHR_A2879_RECRUITMENT
PRD_DHR_A2879,PRD_SUV_DHR_A2879_REFERENTIALS
PRD_DHR_A2879,PRD_UV_DHR_A2879_328705_ACD
PRD_DHR_A2879,PRD_UV_DHR_A2879_A2514_MYL
PRD_DHR_A2879,PRD_UV_DHR_A2879_A2516_ERH
PRD_DHR_A2879,PRD_UV_DHR_A2879_A2689_GLR
PRD_DHR_A2879,PRD_UV_DHR_A2879_A2878_AIR
PRD_DHR_A2879,PRD_UV_DHR_A2879_A2879_DHR
PRD_DHR_A2879,PRD_UV_DHR_A2879_A2933_CLL
PRD_DHR_A2879,PRD_UV_DHR_A2879_A2944_GGP
PRD_DHR_A2879,PRD_UV_DHR_A2879_A5381_BEZ
PRD_DHR_A2879,PRD_UV_DHR_A2879_A5448_OBP
PRD_DHR_A2879,PRD_UV_DHR_A2879_A8627_DAY
PRD_DHR_A2879,PRD_UV_DHR_A2879_A8942_WEL
PRD_DHR_A2879,PRD_UV_DHR_A2879_BIP_A0374
PRD_DHR_A2879,PRD_UV_DHR_A2879_CFE_A8544
PRD_DHR_A2879,PRD_UV_DHR_A2879_CNB_COMPNBEN
PRD_DHR_A2879,PRD_UV_DHR_A2879_D01_204555
PRD_DHR_A2879,PRD_UV_DHR_A2879_DCX_A8777
PRD_DHR_A2879,PRD_UV_DHR_A2879_DDC_A5260
PRD_DHR_A2879,PRD_UV_DHR_A2879_DRP_A1935
PRD_DHR_A2879,PRD_UV_DHR_A2879_EEV_A8549
PRD_DHR_A2879,PRD_UV_DHR_A2879_EMB_A1562
PRD_DHR_A2879,PRD_UV_DHR_A2879_ERM_A2627
PRD_DHR_A2879,PRD_UV_DHR_A2879_EVENT_PROXY_PRODUCER
PRD_DHR_A2879,PRD_UV_DHR_A2879_FAF_A2765
PRD_DHR_A2879,PRD_UV_DHR_A2879_FOR_A2801
PRD_DHR_A2879,PRD_UV_DHR_A2879_GED_A8354
PRD_DHR_A2879,PRD_UV_DHR_A2879_IHM_HRGATE
PRD_DHR_A2879,PRD_UV_DHR_A2879_IPF_A2836
